changes,insertions,deletions
0,0,0
4,77,77
4,99,71
6,8,8
14,338,38
14,372,241
8,39,21
32,842,826
18,822,269
15,745,355
34,37454,76
9,90,27
12,2480,2448
7,86,88
18,459,223
40,1275,360
22,823,501
4,14,14
5,7,6
9,52,11
17,481,97
23,3225,625
18,749,55
19,143,213
14,924,4
11,27,28
50,2511,117
13,94,919
18,616,282
9,148,46
5,21,7
6,25,21
6,74,88
6,22,12
24,1149,97
6,10,8
6,8,4
73,962,221
10,164,62
13,418,129
23,1193,89
16,52,53
32,753,144
10,251,4
9,126,66
34,673,105
7,281,24
8,134,13
18,419,29
26,502,51
35,1091,164
7,122,18
9,169,136
6,58,4
4,5,5
41,650,434
31,552,53
33,718,329
6,304,290
13,44,24
142,2896,166
8,24,9
35,480,120
11,221,73
230,8069,43385
13,240,8
11,462,11
46,1499,3457
15,244,24
13,85,46
92,7921,3142
19,104,87
16,274,57
6,12,10
19,195,95
28,657,125
5,8,8
9,167,46
4,6,6
28,1258,131
11,88,30
40,1649,618
6,85,11
9,125,111
33,998,185
7,17,13
25,371,97
10,247,29
13,93,22
11,182,20
17,377,158
16,123,85
7,13,9
52,2362,463
17,167,48
20,131,133
28,603,225
109,542,536
16,137,30
26,176,92
14,97,46
19,307,5433
18,340,77
28,347,67
350,13844,13101
32,492,391
124,2039,1171
5,6,10
14,31,76
10,67,40
7,23,19
13,194,75
16,328,243
39,10326,12499
69,1975,976
22,6132,6103
7,23,5
17,121,90
435,10439,43086
11,104,41
10,44,20
13,92,47
7,42,22
13,50,1483
43,424,301
15,349,96
6,12,10
472,18043,14617
6,15,20
6,8,6
8,101,13
6,10,10
28,303,149
32,346,235
28,686,226
16,237,199
7,25,16
19,202,161
75,2850,1380
20,85,38
18,397,337
43,605,384
51,577,313
14,343,324
8,35,10
29,526,546
17,151,93
65,1773,1094
11,31,20
11,39,39
12,133,85
13,66,36
8,66,33
30,241,197
50,1964,1304
34,378,3508
15,188,84
13,70,39
8,13,11
11,88,35
8,19,9
54,7662,7276
9,32,44
12,60,13
8,21,17
42,835,317
11,134,147
15,57,60
15,643,482
17,146,155
9,39,43
8,18,11
36,176,162
50,790,571
61,1254,440
12,189,104
8,38,11
8,53,22
39,362,227
17,142,17
15,38,64
127,1299,920
7,148,144
10,38,38
7,9,9
9,52,17
10,18,12
7,8,8
8,43,12
14,37,79
10,20,79
5,131,7
561,3154,49840
5,58,49
2,14,6
3,26,24
4,39,58
2,15,4
3,17,17
3,34,7
2,3,3
1,2,2
2,12,3
1,2,2
3,9,7
3,99,70
1,4,4
2,34,479
2,2,7
2,15,3
4,357,356
4,27,27
2,20,14
1,4,4
1,32,32
1,2,2
2,3,3
2,5,4
2,33,13
1,3,3
4,531,14
4,17,524
1,2,2
2,43,29
2,16,12
2,6,6
1,2,2
3,490,4
10,565,174
4,55,8
2,5,1
3,10,8
3,18,15
2,3,3
3,5,4
3,31,34
4,158,362
5,90,86
4,45,24
2,3,3
2,3,3
3,7,3
2,5,5
2,72,75
3,1129,1125
2,4,4
2,4,4
2,4,4
2,4,4
8,290,106
4,428,419
4,81,79
3,15,15
4,733,722
3,18,18
3,183,182
3,35,35
3,52,52
4,74,65
4,18,18
3,140,140
8,1756,1628
4,330,148
3,71,71
4,98,78
3,91,91
3,91,91
3,236,177
3,95,94
3,394,339
3,105,105
3,168,168
3,212,208
17,2632,1903
5,213,185
3,286,286
4,108,102
3,188,176
3,128,167
3,100,100
3,217,297
3,75,75
3,217,203
4,127,162
4,166,166
3,100,100
3,100,100
3,106,106
3,195,148
3,38,37
3,127,122
3,25,25
4,337,286
5,358,398
3,41,41
4,112,112
3,209,208
3,72,72
3,195,196
163,22546,1885
