changes,insertions,deletions
0,0,0
56,76,24
66,1507,634
105,1521,353
4,15,3
3,6,9
51,977,63
18,3269,102
9,65,7
3,6,2
22,475,2895
15,78,2
9,55,20
16,153,70
9,55,2
48,913,181
5,42,2
24,157,68
20,112,17
345,980,135
22,678,575
22,106,9
60,749,265
12,270,218
13,149,12
61,841,885
5,28,9
13,210,36
26,311,158
4,32,26
16,157,24
12,78,28
17,126,8
17,76,32
6,31,3
24,104,56
11,23,6
35,239,63
40,416,87
8,42,9
5,46,2
20,312,29
24,243,89
7,94,10
11,159,26
73,258,120
10,202,25
21,339,31
3,19,4
7,20,11
598,845,105
7,51,3
7,79,25
12,31,577
12,145,41
40,718,228
11,120,15
54,556,210
29,358,257
18,153,27
23,276,12
6,22,4
10,101,1
22,334,179
421,1955,1577
34,446,35
5,23,2
30,352,49
12,190,137
49,1238,378
34,518,86
37,237,104
5,15,5
21,524,146
11,63,7
13,71,14
61,4339,161
3,6,2
102,3625,533
9,70,27
3,18,6
176,5989,1023
77,962,2428
6,35,6
142,5555,3959
37,1756,164
15,272,40
12,125,17
129,1572,425
6,46,3
5,74,3
5,65,3
5,73,3
270,2677,1169
48,698,484
13,67,1456
39,701,76
8,50,4
5,9,4
85,667,365
80,1773,1729
14,33,10
19,409,83
30,213,345
11,90,9
64,966,592
44,792,695
14,343,35
32,84,27
68,610,150
46,137,79
65,492,221
19,1398,3
45,1582,129
110,2386,1643
38,1271,984
14,70,16
10,388,5
63,225,54
74,1574,1179
69,1336,1189
5,55,6
11,64,13
14,156,34
10,39,25
58,115,70
15,706,379
38,839,75
47,903,802
88,1141,305
72,825,113
15,178,70
29,1096,145
5,50,4
7,126,3
37,574,94
5,53,9
86,4737,4297
6,215,3
7,29,4
20,150,16
81,691,378
35,72,31
8,36,16
16,125,44
19,160,19
48,1199,18
9,56,1
15,98,19
9,28,9
38,657,18
20,45,39
56,240,133
16,237,127
40,311,33
86,1279,177
17,458,35
83,452,376
12,51,28
39,233,178
71,153,100
9,62,4
114,538,576
8,66,22
8,43,7
12,87,70
13,501,10
159,1397,515
5,88,101
43,1183,136
56,251,480
5,23,2
16,109,11
13,67,6
50,853,387
6,43,4
31,291,52
19,269,12
274,14623,213
200,825,402
106,1432,2784
9,15,8
6,29,5
2,5,1
1246,3499,19150
16,128,17
47,1065,517
167,2957,3297
32,261,69
151,4099,669
9,59,19
12,326,35
8,114,69
6,49,10
121,1448,1292
8,30,9
145,1244,97
9,476,13
24,1096,118
12,88,16
10,159,51
13,68,24
17,190,50
37,352,374
9,53,3
17,116,44
60,82,63
8,18,11
24,270,61
5,49,23
10,50,5
63,359,160
9,115,28
6,43,5
4,25,9
12,315,3
12,5156,3872
3,6,2
48,2980,1062
94,444,308
21,1446,3
8,48,24
11,111,6
80,1157,509
30,571,21
15,148,5
3,6,2
81,699,46
7,32,3
6,249,1
111,2741,2864
201,6858,16667
13,110,33
6,27,3
11,98,18
110,1257,397
9,24,4
6,37,2
3,5,2
4,6,3
16,86,17
9,31,6
4034,58869,33186
247,5397,3028
